ACCIDENT_YEAR,JURIS,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,CHP_SHIFT,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,LOCATION_TYPE,RAMP_INTERSECTION,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,MOTORCYCLE_ACCIDENT,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_MC_KILLED,COUNT_MC_INJURED,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y,IS_WEEKEND,TIME_OF_DAY,SEVERE_FATAL
2021,1933,2021-04-07,400,3,5,Y,A,-,N,,,Y,4,0,1,2,A,-,08,22107.0,,N,D,A,H,-,C,D,0,Y,,A,01,0,0,1,0,1,33.95275115966797,-118.37351989746094,LOS ANGELES,INGLEWOOD,-118.3735809326172,33.95267105102539,0,Night,0
2021,1942,2021-04-18,2220,7,5,N,A,-,N,,,Y,3,0,6,4,A,-,01,23152.0,,N,C,A,H,-,C,D,0,Y,Y,A,07,0,1,5,0,2,,,LOS ANGELES,LOS ANGELES,-118.34851837158205,34.08354568481445,1,Night,0
2021,1942,2021-04-19,2139,1,5,Y,A,-,N,,,Y,2,0,2,2,A,-,09,21801.0,,N,D,A,H,-,C,A,0,Y,,A,01,1,0,1,0,1,,,LOS ANGELES,LOS ANGELES,-118.32367706298828,34.04357147216797,0,Night,1
2021,1969,2021-04-18,1543,7,5,N,A,-,N,,,N,3,0,1,2,A,-,09,21804.0,A,F,D,A,H,-,A,A,0,Y,,C,03,0,1,0,0,1,,,LOS ANGELES,SOUTH GATE,-118.22150421142578,33.95680236816406,1,Midday,0
2021,1942,2021-04-20,1500,2,5,N,A,-,N,,,N,2,0,1,1,A,-,03,22350.0,,N,H,A,H,-,A,D,0,Y,,C,02,1,0,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.26090240478516,34.014549255371094,0,Midday,1
2021,1942,2021-04-25,1650,7,5,Y,A,-,N,,,Y,2,0,1,2,A,-,12,22450.0,,N,D,A,H,-,A,A,0,Y,,C,03,1,0,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.32289123535156,34.067134857177734,1,Evening,1
2021,1942,2021-04-24,1810,6,5,N,A,-,N,,,N,3,0,1,1,A,-,03,22350.0,,N,H,A,H,-,A,D,0,Y,Y,C,03,0,1,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.2766342163086,34.056400299072266,1,Evening,0
2021,1942,2021-05-08,1930,6,5,Y,A,-,N,,,Y,2,0,1,2,A,-,08,22102.0,,F,E,A,H,-,A,D,0,Y,,D,22,1,0,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.21519470214844,34.139305114746094,1,Evening,1
2021,1942,2021-05-05,1535,3,5,N,A,-,N,,,Y,4,0,1,2,A,-,21,22106.0,,N,B,A,H,-,A,D,0,Y,,A,01,0,0,1,0,1,,,LOS ANGELES,LOS ANGELES,-118.24303436279295,34.05195236206055,0,Midday,0
2021,1942,2021-05-04,2500,2,5,Y,A,-,N,,,N,4,0,1,2,A,-,08,22107.0,,F,B,A,H,-,A,A,0,Y,,C,03,0,0,1,0,1,,,LOS ANGELES,LOS ANGELES,-118.33834075927734,34.10416030883789,0,Night,0
2021,1942,2021-04-29,945,4,5,N,A,-,N,,,Y,3,0,1,3,A,-,03,22350.0,,M,D,A,H,-,A,D,0,Y,,C,02,0,1,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.44971466064452,33.98932647705078,0,Morning,0
2021,1942,2021-05-18,725,2,5,Y,A,-,N,,,Y,1,1,0,2,A,-,09,21802.0,,N,D,A,H,-,A,A,0,Y,,F,25,0,0,0,1,0,,,LOS ANGELES,LOS ANGELES,-118.23870086669922,33.99803924560547,0,Morning,1
2021,1942,2021-05-20,1230,4,5,N,A,B,N,,,N,4,0,1,2,A,-,09,21804.0,,F,D,A,H,-,A,D,0,Y,,-,99,0,0,1,0,1,,,LOS ANGELES,LOS ANGELES,-118.30902862548828,34.04270553588867,0,Midday,0
